"dateTime","foods-log-caloriesIn","foods-log-water","activities-calories","activities-caloriesBMR","activities-steps","activities-distance","activities-floors","activities-elevation","activities-minutesSedentary","activities-minutesLightlyActive","activities-minutesFairlyActive","activities-minutesVeryActive","sleep-startTime","sleep-timeInBed","sleep-minutesAsleep","sleep-awakeningsCount","sleep-minutesAwake","sleep-minutesToFallAsleep","sleep-minutesAfterWakeup","sleep-efficiency","body-weight","body-bmi","body-fat"
"2014-11-11","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-12","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-13","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-14","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-15","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-16","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-17","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-18","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-19","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-20","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-21","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-22","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-23","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-24","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-25","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-26","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-27","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-28","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-29","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-11-30","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-01","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-02","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-03","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-04","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-05","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-06","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-07","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-08","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-09","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-10","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-11","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-12","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-13","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-14","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-15","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-16","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-17","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-18","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-19","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-20","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-21","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-22","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-23","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-24","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-25","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-26","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-27","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-28","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-29","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
"2014-12-30","0","0.0","1927","1927","0","0.0","0","0","1440","0","0","0","","0","0","0","0","0","0","0","92.624","28.587656021118164","28.944000244140625"
