"Date","Note","Workout","Body Weight","Exercise 1","Weight (KG)","Weight (LB)","Set 1","Set 2","Set 3","Set 4","Set 5","Exercise 2","Weight (KG)","Weight (LB)","Set 1","Set 2","Set 3","Set 4","Set 5","Exercise 3","Weight (KG)","Weight (LB)","Set 1","Set 2","Set 3","Set 4","Set 5"
07/25/16,"",A,183lb,Squat,60,135,5,5,5,5,5,Bench Press,52.5,115,5,5,5,5,5,Barbell Row,37.5,85,5,5,5,5,5,
07/27/16,"",B,183.00lb,Squat,62.5,140,5,5,5,5,5,Overhead Press,30,65,5,5,5,5,5,Deadlift,60,135,5,,,,,
07/29/16,"",A,183.00lb,Squat,65,145,5,5,5,5,5,Bench Press,55,120,5,5,5,5,5,Barbell Row,37.5,85,5,5,5,5,5,
08/01/16,"",B,183.00lb,Squat,67.5,150,5,5,5,5,5,Overhead Press,32.5,70,5,5,5,5,5,Deadlift,65,145,5,,,,,
08/03/16,"",A,183.00lb,Squat,70,155,5,5,5,5,5,Bench Press,57.5,125,5,5,5,5,5,Barbell Row,40,90,5,5,5,5,5,
08/05/16,"",B,183.00lb,Squat,72.5,160,5,5,5,5,5,Overhead Press,35,75,5,5,5,5,5,Deadlift,70,155,5,,,,,
08/08/16,"",A,183.00lb,Squat,75,165,5,5,5,5,5,Bench Press,57.5,130,5,5,5,5,5,Barbell Row,42.5,95,5,5,5,5,5,
08/10/16,"",B,183.00lb,Squat,77.5,170,5,5,5,5,5,Overhead Press,35,80,5,5,5,5,5,Deadlift,75,165,5,,,,,
08/12/16,"",A,183.00lb,Squat,80,175,5,5,5,5,5,Bench Press,60,135,5,5,5,5,5,Barbell Row,45,100,5,5,5,5,5,
08/15/16,"",B,183.00lb,Squat,80,180,5,5,5,5,5,Overhead Press,37.5,85,5,5,5,5,5,Deadlift,80,175,5,,,,,
08/17/16,"",A,183.00lb,Squat,82.5,185,5,5,5,5,5,Bench Press,62.5,140,5,5,5,5,5,Barbell Row,47.5,105,5,5,5,5,5,
08/19/16,"",B,183.00lb,Squat,85,190,5,5,5,5,5,Overhead Press,40,90,5,5,5,5,5,Deadlift,82.5,185,5,,,,,
08/22/16,"",A,183.00lb,Squat,87.5,195,5,5,5,5,5,Bench Press,65,145,5,5,5,5,5,Barbell Row,50,110,5,5,5,5,5,
08/24/16,"",B,183.00lb,Squat,90,200,5,5,5,5,5,Overhead Press,42.5,95,5,5,5,5,5,Deadlift,87.5,195,5,,,,,
08/26/16,"",A,183.00lb,Squat,92.5,205,5,5,5,5,5,Bench Press,67.5,150,5,5,5,5,5,Barbell Row,52.5,115,5,5,5,5,5,
08/29/16,"",B,183.00lb,Squat,95,210,5,4,4,4,3,Overhead Press,45,100,5,5,5,5,5,Deadlift,92.5,205,5,,,,,
08/31/16,"",A,183.00lb,Squat,95,210,5,3,3,2,,Bench Press,70,155,5,5,5,5,5,Barbell Row,55,120,5,5,5,5,5,
09/02/16,"",B,183.00lb,Squat,82.5,185,5,5,5,3,3,Overhead Press,47.5,105,5,5,5,2,4,Deadlift,97.5,215,5,,,,,
